==24557== NVPROF is profiling process 24557, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 5 9 9
==24557== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 5 9 9
==24557== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.43344s  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.83160s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.83208s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.83242s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.83273s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.3125s  380.71us                    -               -         -         -         -  3.7969MB  9.7395GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.3131s  182.56us                    -               -         -         -         -  1.8984MB  10.155GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.3805s  25.440us                    -               -         -         -         -  2.5400MB  97.504GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.3806s  205.15us                    -               -         -         -         -  2.5400MB  12.091GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.3823s  21.024us                    -               -         -         -         -  2.5400MB  117.98GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.3823s  214.69us                    -               -         -         -         -  2.5400MB  11.554GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.3828s  264.10us                    -               -         -         -         -  2.5400MB  9.3924GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.3840s  12.480us                    -               -         -         -         -  1.2744MB  99.724GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.3840s  106.05us                    -               -         -         -         -  1.2744MB  11.736GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.3852s  12.288us                    -               -         -         -         -  1.2744MB  101.28GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.3852s  104.64us                    -               -         -         -         -  1.2744MB  11.894GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.3854s  103.30us                    -               -         -         -         -  1.2744MB  12.048GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.5458s  1.6470ms           (5184 1 1)        (32 1 1)        50        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [10051]
12.5532s  23.584us                    -               -         -         -         -  2.5400MB  105.18GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.5533s  205.31us                    -               -         -         -         -  2.5400MB  12.082GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.5542s  204.42us                    -               -         -         -         -  2.5400MB  12.135GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.5566s  20.896us                    -               -         -         -         -  2.5400MB  118.71GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.5566s  205.41us                    -               -         -         -         -  2.5400MB  12.076GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.5570s  204.32us                    -               -         -         -         -  2.5400MB  12.140GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.5581s  21.281us                    -               -         -         -         -  2.5400MB  116.56GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.5581s  204.58us                    -               -         -         -         -  2.5400MB  12.125GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.5741s  20.864us                    -               -         -         -         -  2.5400MB  118.89GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.5742s  205.35us                    -               -         -         -         -  2.5400MB  12.080GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.5750s  215.20us                    -               -         -         -         -  2.5400MB  11.527GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.5760s  20.832us                    -               -         -         -         -  2.5400MB  119.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.5760s  204.51us                    -               -         -         -         -  2.5400MB  12.129GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.5768s  204.61us                    -               -         -         -         -  2.5400MB  12.123GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.5924s  3.0090us                    -               -         -         -         -  27.000KB  8.5574GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.6035s  1.2160us                    -               -         -         -         -  9.0000KB  7.0584GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
12.6712s  1.9200us             (72 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [10873]
12.6715s  48.544us                    -               -         -         -         -  2.5400MB  51.098GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
12.6725s  23.648us                    -               -         -         -         -  2.5400MB  104.89GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.6725s  205.54us                    -               -         -         -         -  2.5400MB  12.068GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
12.6729s  47.488us                    -               -         -         -         -  2.5400MB  52.235GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
12.7439s  26.720us          (10405 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [10933]
12.8127s  1.3239ms           (5184 1 1)        (32 1 1)        74        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_form0_cell_integral_otherwise [10943]
12.8840s  3.5840us             (72 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [10953]
12.8842s  51.648us                    -               -         -         -         -  2.5400MB  48.027GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
12.9033s  5.8560us                    -               -         -         -         -  652.51KB  106.26GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
12.9033s  52.544us                    -               -         -         -         -  652.51KB  11.843GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.3114s  5.1200us                    -               -         -         -         -  652.51KB  121.54GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.3114s  52.512us                    -               -         -         -         -  652.51KB  11.850GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.3116s  53.024us                    -               -         -         -         -  652.51KB  11.736GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.3799s  9.0240us           (2611 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [11121]
13.5445s  78.529us                    -               -         -         -         -  972.00KB  11.804GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.5449s  40.256us                    -               -         -         -         -  486.00KB  11.513GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.5457s  12.192us                    -               -         -         -         -  1.2744MB  102.08GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.5457s  104.39us                    -               -         -         -         -  1.2744MB  11.923GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.5465s  10.272us                    -               -         -         -         -  1.2744MB  121.16GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.5465s  104.64us                    -               -         -         -         -  1.2744MB  11.894GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.5470s  104.10us                    -               -         -         -         -  1.2744MB  11.956GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.5473s  2.2400us                    -               -         -         -         -  328.52KB  139.86GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.5473s  27.328us                    -               -         -         -         -  328.52KB  11.464GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.5476s  2.2400us                    -               -         -         -         -  328.52KB  139.86GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.5477s  27.328us                    -               -         -         -         -  328.52KB  11.464GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.5477s  27.969us                    -               -         -         -         -  328.52KB  11.202GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.6150s  68.160us           (1296 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [11417]
13.6209s  677.48us                    -               -         -         -         -  7.6466MB  11.022GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.6252s  341.15us                    -               -         -         -         -  3.8233MB  10.944GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.6949s  509.57us           (2611 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [11431]
13.6993s  5.9840us                    -               -         -         -         -  652.51KB  103.99GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.6994s  52.577us                    -               -         -         -         -  652.51KB  11.836GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.6995s  53.120us                    -               -         -         -         -  652.51KB  11.715GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.6997s  7.7440us           (2611 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [11494]
13.7000s  512.07us           (2611 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [11496]
13.7046s  5.6000us                    -               -         -         -         -  652.51KB  111.12GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7046s  52.512us                    -               -         -         -         -  652.51KB  11.850GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7048s  53.440us                    -               -         -         -         -  652.51KB  11.644GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7102s  2.1760us                    -               -         -         -         -  164.26KB  71.989GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7102s  14.528us                    -               -         -         -         -  164.26KB  10.783GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7139s  2.1760us                    -               -         -         -         -  164.26KB  71.989GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7139s  14.528us                    -               -         -         -         -  164.26KB  10.783GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7141s  15.360us                    -               -         -         -         -  164.26KB  10.198GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7148s  2.4320us            (658 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [11706]
13.7529s  21.312us                    -               -         -         -         -  243.00KB  10.874GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7530s  11.905us                    -               -         -         -         -  121.50KB  9.7330GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7532s  2.4960us                    -               -         -         -         -  328.52KB  125.52GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7533s  27.360us                    -               -         -         -         -  328.52KB  11.451GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7536s  2.6240us                    -               -         -         -         -  328.52KB  119.40GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7536s  27.360us                    -               -         -         -         -  328.52KB  11.451GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7537s  27.936us                    -               -         -         -         -  328.52KB  11.215GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7539s  2.1120us                    -               -         -         -         -  83.266KB  37.599GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7539s  8.3840us                    -               -         -         -         -  83.266KB  9.4714GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7541s  2.1120us                    -               -         -         -         -  83.266KB  37.599GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.7541s  8.3200us                    -               -         -         -         -  83.266KB  9.5443GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.7542s  8.9610us                    -               -         -         -         -  83.266KB  8.8615GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7549s  20.416us            (324 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [11994]
13.7568s  196.67us                    -               -         -         -         -  1.9249MB  9.5579GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.7580s  89.760us                    -               -         -         -         -  985.55KB  10.471GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8264s  143.71us            (658 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [12008]
13.8308s  3.3280us                    -               -         -         -         -  164.26KB  47.070GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8308s  14.624us                    -               -         -         -         -  164.26KB  10.712GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8309s  15.968us                    -               -         -         -         -  164.26KB  9.8101GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8310s  2.8160us            (658 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12071]
13.8313s  149.63us            (658 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [12073]
13.8334s  1.9840us                    -               -         -         -         -  164.26KB  78.956GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8334s  14.528us                    -               -         -         -         -  164.26KB  10.783GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8335s  15.328us                    -               -         -         -         -  164.26KB  10.220GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8357s  1.9200us                    -               -         -         -         -  41.633KB  20.679GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8357s  6.9760us                    -               -         -         -         -  41.633KB  5.6915GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8392s  2.1120us                    -               -         -         -         -  41.633KB  18.799GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8393s  5.0250us                    -               -         -         -         -  41.633KB  7.9013GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8393s  5.9840us                    -               -         -         -         -  41.633KB  6.6351GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8400s  1.6000us            (167 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12283]
13.8562s  5.1520us                    -               -         -         -         -  60.750KB  11.245GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8563s  2.9760us                    -               -         -         -         -  30.375KB  9.7338GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8565s  2.1440us                    -               -         -         -         -  83.266KB  37.037GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8566s  8.2560us                    -               -         -         -         -  83.266KB  9.6183GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8572s  2.2080us                    -               -         -         -         -  83.266KB  35.964GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8573s  8.2240us                    -               -         -         -         -  83.266KB  9.6557GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8573s  8.9600us                    -               -         -         -         -  83.266KB  8.8625GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8574s  2.1120us                    -               -         -         -         -  21.391KB  9.6589GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8574s  3.4240us                    -               -         -         -         -  21.391KB  5.9579GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8576s  2.1440us                    -               -         -         -         -  21.391KB  9.5148GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8576s  3.4240us                    -               -         -         -         -  21.391KB  5.9579GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8576s  2.4960us                    -               -         -         -         -  21.391KB  8.1730GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8584s  5.2480us             (81 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [12571]
13.8592s  41.248us                    -               -         -         -         -  499.59KB  11.551GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8596s  22.208us                    -               -         -         -         -  249.80KB  10.727GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8604s  47.008us            (167 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [12577]
13.8638s  2.1120us                    -               -         -         -         -  41.633KB  18.799GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8638s  5.1200us                    -               -         -         -         -  41.633KB  7.7547GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8639s  5.6960us                    -               -         -         -         -  41.633KB  6.9705GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8640s  1.3440us            (167 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12640]
13.8642s  50.240us            (167 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [12642]
13.8664s  1.9520us                    -               -         -         -         -  41.633KB  20.340GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8664s  4.9920us                    -               -         -         -         -  41.633KB  7.9536GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8665s  5.7280us                    -               -         -         -         -  41.633KB  6.9316GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.8677s  2.1760us                    -               -         -         -         -  10.695KB  4.6874GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8677s  2.5920us                    -               -         -         -         -  10.695KB  3.9351GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8713s  2.1440us                    -               -         -         -         -  10.695KB  4.7574GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.8714s  2.6240us                    -               -         -         -         -  10.695KB  3.8871GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.8714s  1.2160us                    -               -         -         -         -  10.695KB  8.3880GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
