==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
16.7193s  62.304us                    -               -         -         -         -  3.1348MB  49.135GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
16.7451s  7.8080us                    -               -         -         -         -  805.01KB  98.324GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.7451s  64.512us                    -               -         -         -         -  805.01KB  11.900GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.1656s  10.144us                    -               -         -         -         -  805.01KB  75.682GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.1656s  64.512us                    -               -         -         -         -  805.01KB  11.900GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.1659s  64.801us                    -               -         -         -         -  805.01KB  11.847GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.2376s  9.0560us           (3221 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12505]
17.4479s  101.28us                    -               -         -         -         -  1.1719MB  11.299GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.4483s  49.121us                    -               -         -         -         -  600.00KB  11.649GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.4493s  14.400us                    -               -         -         -         -  1.5723MB  106.63GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.4493s  128.26us                    -               -         -         -         -  1.5723MB  11.972GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.4502s  13.056us                    -               -         -         -         -  1.5723MB  117.60GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.4502s  128.55us                    -               -         -         -         -  1.5723MB  11.945GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.4507s  127.33us                    -               -         -         -         -  1.5723MB  12.059GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.4511s  2.8810us                    -               -         -         -         -  405.02KB  134.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.4511s  33.280us                    -               -         -         -         -  405.02KB  11.606GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.4515s  2.6560us                    -               -         -         -         -  405.02KB  145.43GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.4515s  34.432us                    -               -         -         -         -  405.02KB  11.218GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.4516s  34.432us                    -               -         -         -         -  405.02KB  11.218GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.5211s  81.377us           (1600 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [12801]
17.5288s  873.51us                    -               -         -         -         -  9.4337MB  10.547GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.5342s  410.85us                    -               -         -         -         -  4.7168MB  11.212GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6063s  621.22us           (3221 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [12815]
17.6114s  7.4890us                    -               -         -         -         -  805.01KB  102.51GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6114s  64.512us                    -               -         -         -         -  805.01KB  11.900GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
