==19457== NVPROF is profiling process 19457, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 5 9 9
==19457== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 5 9 9
==19457== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.52210s  1.5040us                    -               -         -         -         -      112B  71.018MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.91067s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.91107s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.91139s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.91170s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.0550s  613.35us                    -               -         -         -         -  6.3281MB  10.076GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.0558s  176.19us                    -               -         -         -         -  1.8984MB  10.522GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
13.1202s  54.753us                    -               -         -         -         -  5.7085MB  101.82GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.1203s  457.54us                    -               -         -         -         -  5.7085MB  12.184GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.1239s  49.248us                    -               -         -         -         -  5.7085MB  113.20GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
13.1240s  457.89us                    -               -         -         -         -  5.7085MB  12.175GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
13.1250s  534.92us                    -               -         -         -         -  5.7085MB  10.422GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
