==18754== NVPROF is profiling process 18754, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 7 1 1
==18754== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 7 1 1
==18754== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
655.57ms  1.5040us                    -               -         -         -         -      112B  71.018MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03172s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03210s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03241s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03270s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.76490s  110.11us                    -               -         -         -         -  1.2500MB  11.086GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.76534s  32.480us                    -               -         -         -         -  384.00KB  11.275GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.90771s  12.384us                    -               -         -         -         -  1.1309MB  89.177GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.90773s  93.024us                    -               -         -         -         -  1.1309MB  11.872GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.90953s  10.784us                    -               -         -         -         -  1.1309MB  102.41GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.90955s  92.864us                    -               -         -         -         -  1.1309MB  11.892GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.90978s  92.576us                    -               -         -         -         -  1.1309MB  11.929GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.91033s  2.1440us                    -               -         -         -         -  260.02KB  115.66GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.91033s  21.920us                    -               -         -         -         -  260.02KB  11.313GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.91056s  2.1440us                    -               -         -         -         -  260.02KB  115.66GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.91057s  22.144us                    -               -         -         -         -  260.02KB  11.198GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.91063s  22.560us                    -               -         -         -         -  260.02KB  10.992GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.06389s  438.24us           (1024 1 1)        (32 1 1)        52        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [12711]
4.07105s  10.432us                    -               -         -         -         -  1.1309MB  105.86GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.07107s  92.033us                    -               -         -         -         -  1.1309MB  12.000GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.07147s  92.512us                    -               -         -         -         -  1.1309MB  11.938GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.07268s  8.0960us                    -               -         -         -         -  1.1309MB  136.41GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.07270s  91.969us                    -               -         -         -         -  1.1309MB  12.008GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.07288s  92.032us                    -               -         -         -         -  1.1309MB  12.000GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.07373s  7.9680us                    -               -         -         -         -  1.1309MB  138.60GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.07374s  93.024us                    -               -         -         -         -  1.1309MB  11.872GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.08859s  10.592us                    -               -         -         -         -  1.1309MB  104.26GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.08861s  92.097us                    -               -         -         -         -  1.1309MB  11.991GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.08903s  92.161us                    -               -         -         -         -  1.1309MB  11.983GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.08981s  7.7120us                    -               -         -         -         -  1.1309MB  143.20GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.08982s  92.033us                    -               -         -         -         -  1.1309MB  12.000GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.09025s  92.065us                    -               -         -         -         -  1.1309MB  11.995GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.09631s  2.3040us                    -               -         -         -         -  20.000KB  8.2784GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.10702s  1.2160us                    -               -         -         -         -  6.0000KB  4.7056GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.20142s  3.1680us             (48 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [13641]
4.20180s  21.952us                    -               -         -         -         -  1.1309MB  50.308GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
4.20362s  10.880us                    -               -         -         -         -  1.1309MB  101.50GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.20363s  113.92us                    -               -         -         -         -  1.1309MB  9.6942GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.20399s  22.592us                    -               -         -         -         -  1.1309MB  48.883GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
4.33431s  11.648us           (4633 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13701]
4.46377s  618.37us           (1024 1 1)        (32 1 1)       124        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_form0_cell_integral_otherwise [13711]
4.60633s  2.3040us             (48 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13721]
4.60678s  24.352us                    -               -         -         -         -  1.1309MB  45.350GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
4.61742s  1.9520us                    -               -         -         -         -  291.01KB  142.18GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.61742s  24.384us                    -               -         -         -         -  291.01KB  11.382GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.27989s  3.2640us                    -               -         -         -         -  291.01KB  85.027GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.27990s  24.352us                    -               -         -         -         -  291.01KB  11.396GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
