==19118== NVPROF is profiling process 19118, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 8 1 1
==19118== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 8 1 1
==19118== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.97350s  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.37673s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.37720s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.37758s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.37795s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.0415s  492.19us                    -               -         -         -         -  5.0000MB  9.9205GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.0422s  129.95us                    -               -         -         -         -  1.5000MB  11.272GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.1093s  42.625us                    -               -         -         -         -  4.5117MB  103.37GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.1093s  362.21us                    -               -         -         -         -  4.5117MB  12.164GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
11.1120s  38.624us                    -               -         -         -         -  4.5117MB  114.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.1120s  362.50us                    -               -         -         -         -  4.5117MB  12.155GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
11.1128s  423.17us                    -               -         -         -         -  4.5117MB  10.412GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.1140s  6.6560us                    -               -         -         -         -  1.0078MB  147.87GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.1140s  83.105us                    -               -         -         -         -  1.0078MB  11.843GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
11.1150s  9.0240us                    -               -         -         -         -  1.0078MB  109.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.1150s  82.113us                    -               -         -         -         -  1.0078MB  11.986GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
11.1152s  82.720us                    -               -         -         -         -  1.0078MB  11.898GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.3290s  2.1469ms           (4096 1 1)        (32 1 1)        52        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [14041]
11.3366s  41.248us                    -               -         -         -         -  4.5117MB  106.82GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.3366s  362.18us                    -               -         -         -         -  4.5117MB  12.165GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
11.3382s  361.99us                    -               -         -         -         -  4.5117MB  12.172GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.3414s  38.496us                    -               -         -         -         -  4.5117MB  114.45GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.3415s  362.50us                    -               -         -         -         -  4.5117MB  12.155GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
11.3422s  361.63us                    -               -         -         -         -  4.5117MB  12.184GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
11.3440s  38.752us                    -               -         -         -         -  4.5117MB  113.70GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
11.3440s  362.24us                    -               -         -         -         -  4.5117MB  12.163GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
