==20073== NVPROF is profiling process 20073, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 6 7 7
==20073== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 6 7 7
==20073== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.41477s  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.78847s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.78888s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.78922s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.78955s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
26.8243s  1.5749ms                    -               -         -         -         -  15.313MB  9.4948GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
26.8264s  532.16us                    -               -         -         -         -  4.5938MB  8.4299GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
26.8977s  124.77us                    -               -         -         -         -  13.802MB  108.03GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
26.8978s  1.1125ms                    -               -         -         -         -  13.802MB  12.115GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
26.9068s  121.79us                    -               -         -         -         -  13.802MB  110.67GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
26.9070s  1.1236ms                    -               -         -         -         -  13.802MB  11.996GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
26.9098s  1.1075ms                    -               -         -         -         -  13.802MB  12.170GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
26.9121s  25.760us                    -               -         -         -         -  3.0762MB  116.62GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
26.9122s  248.16us                    -               -         -         -         -  3.0762MB  12.105GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
26.9138s  26.017us                    -               -         -         -         -  3.0762MB  115.47GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
26.9138s  261.47us                    -               -         -         -         -  3.0762MB  11.489GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
26.9143s  246.47us                    -               -         -         -         -  3.0762MB  12.189GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.0759s  6.6375ms          (12544 1 1)        (32 1 1)        52        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [11381]
27.0852s  124.55us                    -               -         -         -         -  13.802MB  108.22GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.0854s  1.1032ms                    -               -         -         -         -  13.802MB  12.217GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.0894s  1.1058ms                    -               -         -         -         -  13.802MB  12.188GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.0972s  121.70us                    -               -         -         -         -  13.802MB  110.75GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.0973s  1.1493ms                    -               -         -         -         -  13.802MB  11.727GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.1002s  1.1049ms                    -               -         -         -         -  13.802MB  12.199GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.1043s  121.79us                    -               -         -         -         -  13.802MB  110.67GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.1044s  1.1017ms                    -               -         -         -         -  13.802MB  12.234GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.1221s  122.08us                    -               -         -         -         -  13.802MB  110.40GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.1222s  1.1016ms                    -               -         -         -         -  13.802MB  12.235GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.1263s  1.1061ms                    -               -         -         -         -  13.802MB  12.186GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.1303s  122.31us                    -               -         -         -         -  13.802MB  110.20GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.1304s  1.1008ms                    -               -         -         -         -  13.802MB  12.244GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.1344s  1.2679ms                    -               -         -         -         -  13.802MB  10.630GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.1662s  7.9360us                    -               -         -         -         -  70.000KB  8.4119GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.1833s  2.4640us                    -               -         -         -         -  21.000KB  8.1279GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
27.2506s  2.2720us            (168 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [12257]
27.2509s  261.38us                    -               -         -         -         -  13.802MB  51.566GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
27.2542s  124.26us                    -               -         -         -         -  13.802MB  108.47GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.2543s  1.1016ms                    -               -         -         -         -  13.802MB  12.235GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.2560s  259.30us                    -               -         -         -         -  13.802MB  51.980GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
27.3308s  140.99us          (56533 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12317]
27.3972s  9.3318ms          (12544 1 1)        (32 1 1)       124        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_form0_cell_integral_otherwise [12327]
27.4674s  2.9760us            (168 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12337]
27.4676s  263.14us                    -               -         -         -         -  13.802MB  51.222GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
27.5171s  31.553us                    -               -         -         -         -  3.4556MB  106.95GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.5172s  278.43us                    -               -         -         -         -  3.4556MB  12.120GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.9702s  31.584us                    -               -         -         -         -  3.4556MB  106.84GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
27.9702s  278.34us                    -               -         -         -         -  3.4556MB  12.124GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
27.9714s  276.39us                    -               -         -         -         -  3.4556MB  12.210GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
28.0386s  36.480us          (14155 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12505]
28.4701s  362.75us                    -               -         -         -         -  3.8281MB  10.306GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
28.4706s  98.848us                    -               -         -         -         -  1.1484MB  11.346GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
28.4724s  62.401us                    -               -         -         -         -  6.9111MB  108.16GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
28.4724s  563.30us                    -               -         -         -         -  6.9111MB  11.982GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
28.4748s  60.065us                    -               -         -         -         -  6.9111MB  112.36GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
28.4749s  556.26us                    -               -         -         -         -  6.9111MB  12.133GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
28.4772s  610.69us                    -               -         -         -         -  6.9111MB  11.052GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
28.4789s  7.5840us                    -               -         -         -         -  791.02KB  99.469GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
28.4789s  63.617us                    -               -         -         -         -  791.02KB  11.858GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
28.4794s  6.3680us                    -               -         -         -         -  791.02KB  118.46GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
