==18033== NVPROF is profiling process 18033, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 6 1 1
==18033== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 6 1 1
==18033== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
672.12ms  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.06083s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.06125s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.06161s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.06204s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.60111s  27.424us                    -               -         -         -         -  320.00KB  11.128GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.60120s  10.112us                    -               -         -         -         -  96.000KB  9.0539GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.67560s  3.6160us                    -               -         -         -         -  291.01KB  76.750GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
2.67561s  24.608us                    -               -         -         -         -  291.01KB  11.278GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
2.67593s  2.1120us                    -               -         -         -         -  291.01KB  131.40GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
2.67594s  24.384us                    -               -         -         -         -  291.01KB  11.382GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
2.67601s  24.992us                    -               -         -         -         -  291.01KB  11.105GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.67616s  2.1760us                    -               -         -         -         -  66.016KB  28.933GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
2.67617s  6.8800us                    -               -         -         -         -  66.016KB  9.1508GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
