==19757== NVPROF is profiling process 19757, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 6 5 5
==19757== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 6 5 5
==19757== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.63920s  1.5040us                    -               -         -         -         -      112B  71.018MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.01363s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.01404s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.01447s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.01481s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.5638s  786.31us                    -               -         -         -         -  7.8125MB  9.7028GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.5648s  224.80us                    -               -         -         -         -  2.3438MB  10.182GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.6319s  65.664us                    -               -         -         -         -  7.0459MB  104.79GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.6319s  575.14us                    -               -         -         -         -  7.0459MB  11.964GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.6361s  61.312us                    -               -         -         -         -  7.0459MB  112.23GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.6362s  645.22us                    -               -         -         -         -  7.0459MB  10.664GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.6374s  572.07us                    -               -         -         -         -  7.0459MB  12.028GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.6390s  12.512us                    -               -         -         -         -  1.5723MB  122.72GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.6390s  128.22us                    -               -         -         -         -  1.5723MB  11.975GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.6401s  12.512us                    -               -         -         -         -  1.5723MB  122.72GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.6401s  127.14us                    -               -         -         -         -  1.5723MB  12.077GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.6404s  127.17us                    -               -         -         -         -  1.5723MB  12.074GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.8365s  5.2002ms           (6400 1 1)        (32 1 1)        52        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [11381]
15.8461s  64.128us                    -               -         -         -         -  7.0459MB  107.30GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.8461s  682.08us                    -               -         -         -         -  7.0459MB  10.088GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.8483s  697.57us                    -               -         -         -         -  7.0459MB  9.8639GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.8551s  76.384us                    -               -         -         -         -  7.0459MB  90.081GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.8552s  1.1802ms                    -               -         -         -         -  7.0459MB  5.8303GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.8571s  561.92us                    -               -         -         -         -  7.0459MB  12.245GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
15.8597s  63.936us                    -               -         -         -         -  7.0459MB  107.62GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.8598s  564.00us                    -               -         -         -         -  7.0459MB  12.200GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
15.8767s  65.408us                    -               -         -         -         -  7.0459MB  105.20GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
15.8768s  563.94us                    -               -         -         -         -  7.0459MB  12.201GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
