==18462== NVPROF is profiling process 18462, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 4 7 7
==18462== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 4 7 7
==18462== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.47954s  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.87666s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.87711s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.87749s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.87787s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.21791s  79.553us                    -               -         -         -         -  980.00KB  11.748GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.21802s  25.600us                    -               -         -         -         -  294.00KB  10.952GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.28947s  9.6000us                    -               -         -         -         -  887.26KB  88.141GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.28948s  70.720us                    -               -         -         -         -  887.26KB  11.965GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.29000s  7.9360us                    -               -         -         -         -  887.26KB  106.62GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.29001s  70.721us                    -               -         -         -         -  887.26KB  11.965GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.29017s  71.168us                    -               -         -         -         -  887.26KB  11.890GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.29039s  2.1440us                    -               -         -         -         -  199.52KB  88.747GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.29040s  17.312us                    -               -         -         -         -  199.52KB  10.991GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.29118s  2.1760us                    -               -         -         -         -  199.52KB  87.442GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.29119s  17.312us                    -               -         -         -         -  199.52KB  10.991GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.29125s  17.952us                    -               -         -         -         -  199.52KB  10.599GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.44568s  425.22us            (784 1 1)        (32 1 1)        52        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [8721]
5.45246s  8.3520us                    -               -         -         -         -  887.26KB  101.31GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.45248s  70.784us                    -               -         -         -         -  887.26KB  11.954GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.45280s  71.169us                    -               -         -         -         -  887.26KB  11.889GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.45342s  7.6160us                    -               -         -         -         -  887.26KB  111.10GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.45343s  70.752us                    -               -         -         -         -  887.26KB  11.959GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.45358s  71.136us                    -               -         -         -         -  887.26KB  11.895GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.45455s  8.1600us                    -               -         -         -         -  887.26KB  103.70GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.45456s  70.752us                    -               -         -         -         -  887.26KB  11.959GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.46808s  7.7120us                    -               -         -         -         -  887.26KB  109.72GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.46809s  70.784us                    -               -         -         -         -  887.26KB  11.954GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.46841s  71.233us                    -               -         -         -         -  887.26KB  11.879GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.46917s  8.0960us                    -               -         -         -         -  887.26KB  104.52GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.46918s  70.752us                    -               -         -         -         -  887.26KB  11.959GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.46949s  71.392us                    -               -         -         -         -  887.26KB  11.852GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.47493s  2.3040us                    -               -         -         -         -  17.500KB  7.2436GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.48465s  1.2160us                    -               -         -         -         -  5.2500KB  4.1174GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
5.54836s  2.1760us             (42 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [9489]
5.54859s  16.864us                    -               -         -         -         -  887.26KB  50.175GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
5.54893s  9.1200us                    -               -         -         -         -  887.26KB  92.780GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.54894s  70.785us                    -               -         -         -         -  887.26KB  11.954GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
5.54911s  16.608us                    -               -         -         -         -  887.26KB  50.949GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
5.61931s  9.7920us           (3550 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [9549]
5.68386s  597.51us            (784 1 1)        (32 1 1)       124        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_form0_cell_integral_otherwise [9559]
5.75006s  1.5680us             (42 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [9569]
5.75029s  16.768us                    -               -         -         -         -  887.26KB  50.462GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
5.75440s  2.2080us                    -               -         -         -         -  223.13KB  96.375GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
5.75442s  19.136us                    -               -         -         -         -  223.13KB  11.120GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.24544s  3.2970us                    -               -         -         -         -  223.13KB  64.542GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.24545s  19.232us                    -               -         -         -         -  223.13KB  11.065GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.24555s  20.768us                    -               -         -         -         -  223.13KB  10.246GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.39148s  3.2640us            (893 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [9737]
6.42720s  22.048us                    -               -         -         -         -  245.00KB  10.597GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.42734s  8.1600us                    -               -         -         -         -  73.500KB  8.5901GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.42823s  3.1680us                    -               -         -         -         -  446.27KB  134.34GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.42825s  36.481us                    -               -         -         -         -  446.27KB  11.666GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.42846s  3.2320us                    -               -         -         -         -  446.27KB  131.68GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.42847s  36.481us                    -               -         -         -         -  446.27KB  11.666GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.42861s  37.344us                    -               -         -         -         -  446.27KB  11.397GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.42879s  2.1440us                    -               -         -         -         -  50.766KB  22.581GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.42880s  5.7920us                    -               -         -         -         -  50.766KB  8.3587GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.42898s  2.1120us                    -               -         -         -         -  50.766KB  22.923GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.42899s  5.7600us                    -               -         -         -         -  50.766KB  8.4052GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.42902s  6.4320us                    -               -         -         -         -  50.766KB  7.5270GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.49545s  27.840us            (196 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [10033]
6.49807s  396.26us                    -               -         -         -         -  4.3581MB  10.740GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.49960s  111.33us                    -               -         -         -         -  1.3074MB  11.468GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.56690s  355.49us            (893 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [10047]
6.57130s  2.1440us                    -               -         -         -         -  223.13KB  99.252GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.57132s  19.232us                    -               -         -         -         -  223.13KB  11.065GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.57144s  19.776us                    -               -         -         -         -  223.13KB  10.760GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.57156s  3.4880us            (893 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [10110]
6.57187s  357.99us            (893 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [10112]
6.57625s  2.0800us                    -               -         -         -         -  223.13KB  102.31GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.57626s  19.137us                    -               -         -         -         -  223.13KB  11.120GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.57636s  19.776us                    -               -         -         -         -  223.13KB  10.760GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.57809s  2.1440us                    -               -         -         -         -  56.445KB  25.107GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.57810s  6.1760us                    -               -         -         -         -  56.445KB  8.7161GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.58154s  2.1120us                    -               -         -         -         -  56.445KB  25.488GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.58155s  6.1440us                    -               -         -         -         -  56.445KB  8.7615GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.58159s  6.8480us                    -               -         -         -         -  56.445KB  7.8608GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.58228s  1.5040us            (226 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [10322]
6.59578s  5.1840us                    -               -         -         -         -  61.250KB  11.268GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.59586s  2.3360us                    -               -         -         -         -  18.375KB  7.5016GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.59600s  2.1760us                    -               -         -         -         -  112.89KB  49.477GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.59601s  10.528us                    -               -         -         -         -  112.89KB  10.226GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.59612s  2.1440us                    -               -         -         -         -  112.89KB  50.215GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.59613s  10.560us                    -               -         -         -         -  112.89KB  10.195GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.59618s  11.328us                    -               -         -         -         -  112.89KB  9.5040GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.59636s  2.1440us                    -               -         -         -         -  13.141KB  5.8451GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.59637s  2.7840us                    -               -         -         -         -  13.141KB  4.5014GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.59650s  2.1440us                    -               -         -         -         -  13.141KB  5.8451GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.59651s  2.7840us                    -               -         -         -         -  13.141KB  4.5014GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.59654s  1.2800us                    -               -         -         -         -  13.141KB  9.7905GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.59715s  8.6400us             (49 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [10610]
6.59792s  94.017us                    -               -         -         -         -  1.1024MB  11.451GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.59827s  29.120us                    -               -         -         -         -  338.67KB  11.091GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.66744s  111.30us            (226 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [10624]
6.67180s  1.9840us                    -               -         -         -         -  56.445KB  27.132GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.67183s  6.1760us                    -               -         -         -         -  56.445KB  8.7161GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.67189s  6.8480us                    -               -         -         -         -  56.445KB  7.8608GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.67199s  1.6640us            (226 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [10687]
6.67232s  110.82us            (226 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [10689]
6.67448s  2.0480us                    -               -         -         -         -  56.445KB  26.284GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.67449s  6.1440us                    -               -         -         -         -  56.445KB  8.7615GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.67453s  6.8480us                    -               -         -         -         -  56.445KB  7.8608GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.67566s  2.1120us                    -               -         -         -         -  14.445KB  6.5228GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.67567s  2.8800us                    -               -         -         -         -  14.445KB  4.7834GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.67907s  2.1440us                    -               -         -         -         -  14.445KB  6.4254GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.67908s  2.8800us                    -               -         -         -         -  14.445KB  4.7834GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.67912s  1.3760us                    -               -         -         -         -  14.445KB  10.012GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.67980s  1.2480us             (58 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [10899]
6.71998s  2.1760us                    -               -         -         -         -  15.313KB  6.7110GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.71999s  1.2160us                    -               -         -         -         -  4.5938KB  3.6027GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.72019s  3.3280us                    -               -         -         -         -  28.891KB  8.2789GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.72021s  4.0960us                    -               -         -         -         -  28.891KB  6.7266GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.72035s  2.1120us                    -               -         -         -         -  28.891KB  13.046GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.72035s  4.0320us                    -               -         -         -         -  28.891KB  6.8334GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.72040s  4.7360us                    -               -         -         -         -  28.891KB  5.8176GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.72052s  1.1840us                    -               -         -         -         -  3.5156KB  2.8317GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.72052s  1.9520us                    -               -         -         -         -  3.5156KB  1.7176GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.72067s  1.2160us                    -               -         -         -         -  3.5156KB  2.7572GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
6.72068s  1.7600us                    -               -         -         -         -  3.5156KB  1.9050GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
6.72070s  1.1840us                    -               -         -         -         -  3.5156KB  2.8317GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
6.72143s  2.8480us             (13 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [11187]
