==20402== NVPROF is profiling process 20402, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 9 1 1
==20402== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 9 1 1
==20402== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
40.5993s  341.67us                    -               -         -         -         -  18.023MB  51.515GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
40.6624s  41.569us                    -               -         -         -         -  4.5117MB  105.99GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.6625s  361.09us                    -               -         -         -         -  4.5117MB  12.202GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.1296s  42.464us                    -               -         -         -         -  4.5117MB  103.76GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.1297s  362.31us                    -               -         -         -         -  4.5117MB  12.161GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.1312s  360.51us                    -               -         -         -         -  4.5117MB  12.221GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.2056s  47.969us          (18481 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [16657]
41.3535s  499.78us                    -               -         -         -         -  5.0000MB  9.7700GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.3542s  130.59us                    -               -         -         -         -  1.5000MB  11.217GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.3563s  81.536us                    -               -         -         -         -  9.0235MB  108.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.3564s  732.48us                    -               -         -         -         -  9.0235MB  12.030GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.3594s  79.232us                    -               -         -         -         -  9.0235MB  111.22GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.3594s  734.82us                    -               -         -         -         -  9.0235MB  11.992GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.3621s  718.85us                    -               -         -         -         -  9.0235MB  12.258GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.3638s  6.1440us                    -               -         -         -         -  1.0078MB  160.19GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.3638s  83.232us                    -               -         -         -         -  1.0078MB  11.825GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.3649s  8.9920us                    -               -         -         -         -  1.0078MB  109.45GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.3649s  83.136us                    -               -         -         -         -  1.0078MB  11.839GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.3651s  82.465us                    -               -         -         -         -  1.0078MB  11.935GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.4352s  453.92us           (4096 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [16953]
41.4767s  9.0430ms                    -               -         -         -         -  90.235MB  9.7446GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.5034s  2.6161ms                    -               -         -         -         -  27.070MB  10.105GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.5775s  6.6155ms          (18481 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [16967]
41.5842s  39.616us                    -               -         -         -         -  4.5117MB  111.22GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.5842s  362.27us                    -               -         -         -         -  4.5117MB  12.162GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.5856s  361.06us                    -               -         -         -         -  4.5117MB  12.203GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.5860s  46.752us          (18481 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [17030]
41.5864s  6.6173ms          (18481 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [17032]
41.5930s  39.808us                    -               -         -         -         -  4.5117MB  110.68GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.5931s  636.80us                    -               -         -         -         -  4.5117MB  6.9189GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.5953s  360.16us                    -               -         -         -         -  4.5117MB  12.233GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6131s  10.912us                    -               -         -         -         -  1.1309MB  101.21GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.6131s  93.025us                    -               -         -         -         -  1.1309MB  11.872GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.6172s  9.8240us                    -               -         -         -         -  1.1309MB  112.41GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.6172s  92.960us                    -               -         -         -         -  1.1309MB  11.880GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.6176s  91.584us                    -               -         -         -         -  1.1309MB  12.058GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6184s  12.672us           (4633 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [17242]
41.6643s  107.75us                    -               -         -         -         -  1.2500MB  11.330GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6644s  32.352us                    -               -         -         -         -  384.00KB  11.320GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6653s  23.744us                    -               -         -         -         -  2.2617MB  93.022GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.6653s  182.37us                    -               -         -         -         -  2.2617MB  12.111GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.6663s  18.657us                    -               -         -         -         -  2.2617MB  118.39GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.6663s  183.49us                    -               -         -         -         -  2.2617MB  12.037GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.6670s  181.86us                    -               -         -         -         -  2.2617MB  12.145GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6674s  2.2080us                    -               -         -         -         -  260.02KB  112.31GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.6674s  22.048us                    -               -         -         -         -  260.02KB  11.247GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.6676s  2.2080us                    -               -         -         -         -  260.02KB  112.31GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.6676s  22.016us                    -               -         -         -         -  260.02KB  11.263GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.6677s  22.624us                    -               -         -         -         -  260.02KB  10.960GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6685s  120.39us           (1024 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [17530]
41.6798s  2.1398ms                    -               -         -         -         -  22.617MB  10.322GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.6864s  599.17us                    -               -         -         -         -  6.7852MB  11.059GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.7581s  1.6983ms           (4633 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [17544]
41.7628s  9.2160us                    -               -         -         -         -  1.1309MB  119.83GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.7628s  93.152us                    -               -         -         -         -  1.1309MB  11.855GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.7630s  92.256us                    -               -         -         -         -  1.1309MB  11.971GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.7632s  12.768us           (4633 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [17607]
41.7635s  1.6996ms           (4633 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [17609]
41.7657s  9.1200us                    -               -         -         -         -  1.1309MB  121.09GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.7657s  93.024us                    -               -         -         -         -  1.1309MB  11.872GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.7661s  92.288us                    -               -         -         -         -  1.1309MB  11.966GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8006s  2.5920us                    -               -         -         -         -  291.01KB  107.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8006s  24.640us                    -               -         -         -         -  291.01KB  11.263GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8040s  2.1760us                    -               -         -         -         -  291.01KB  127.54GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8040s  25.504us                    -               -         -         -         -  291.01KB  10.882GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8042s  24.992us                    -               -         -         -         -  291.01KB  11.105GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8048s  3.6480us           (1165 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [17819]
41.8226s  27.488us                    -               -         -         -         -  320.00KB  11.102GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8227s  9.9210us                    -               -         -         -         -  96.000KB  9.2282GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8228s  4.1920us                    -               -         -         -         -  582.02KB  132.41GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8228s  47.008us                    -               -         -         -         -  582.02KB  11.808GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8230s  4.3200us                    -               -         -         -         -  582.02KB  128.48GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8230s  48.224us                    -               -         -         -         -  582.02KB  11.510GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8232s  47.616us                    -               -         -         -         -  582.02KB  11.657GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8234s  2.1120us                    -               -         -         -         -  66.016KB  29.809GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8234s  6.8480us                    -               -         -         -         -  66.016KB  9.1935GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8236s  2.1440us                    -               -         -         -         -  66.016KB  29.364GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8236s  7.1680us                    -               -         -         -         -  66.016KB  8.7831GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8237s  7.6160us                    -               -         -         -         -  66.016KB  8.2665GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8243s  36.129us            (256 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [18107]
41.8275s  493.92us                    -               -         -         -         -  5.6837MB  11.238GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8295s  148.13us                    -               -         -         -         -  1.7051MB  11.241GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8304s  451.87us           (1165 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [18113]
41.8337s  2.3680us                    -               -         -         -         -  291.01KB  117.20GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8337s  24.416us                    -               -         -         -         -  291.01KB  11.367GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8338s  24.960us                    -               -         -         -         -  291.01KB  11.119GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8339s  3.8080us           (1165 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [18176]
41.8342s  460.96us           (1165 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [18178]
41.8358s  2.1760us                    -               -         -         -         -  291.01KB  127.54GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8358s  24.416us                    -               -         -         -         -  291.01KB  11.367GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8359s  25.056us                    -               -         -         -         -  291.01KB  11.076GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8379s  2.1440us                    -               -         -         -         -  73.508KB  32.697GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8379s  7.5520us                    -               -         -         -         -  73.508KB  9.2826GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8413s  2.1120us                    -               -         -         -         -  73.508KB  33.192GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8413s  7.5200us                    -               -         -         -         -  73.508KB  9.3221GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8413s  8.1600us                    -               -         -         -         -  73.508KB  8.5910GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8420s  1.5680us            (295 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [18388]
41.8538s  9.1200us                    -               -         -         -         -  80.000KB  8.3656GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8539s  2.6240us                    -               -         -         -         -  24.000KB  8.7226GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8541s  2.1440us                    -               -         -         -         -  147.02KB  65.394GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8541s  13.216us                    -               -         -         -         -  147.02KB  10.609GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8542s  2.1440us                    -               -         -         -         -  147.02KB  65.394GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8542s  13.184us                    -               -         -         -         -  147.02KB  10.634GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8543s  13.920us                    -               -         -         -         -  147.02KB  10.072GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8544s  1.5360us                    -               -         -         -         -  17.016KB  10.565GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8544s  3.1040us                    -               -         -         -         -  17.016KB  5.2279GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8546s  2.1440us                    -               -         -         -         -  17.016KB  7.5687GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8546s  3.1040us                    -               -         -         -         -  17.016KB  5.2279GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8546s  1.5040us                    -               -         -         -         -  17.016KB  10.789GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8553s  10.752us             (64 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [18676]
41.8564s  121.41us                    -               -         -         -         -  1.4357MB  11.548GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8569s  36.896us                    -               -         -         -         -  441.05KB  11.400GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8577s  141.41us            (295 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [18682]
41.8607s  1.9840us                    -               -         -         -         -  73.508KB  35.334GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8607s  7.4880us                    -               -         -         -         -  73.508KB  9.3620GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8607s  8.1600us                    -               -         -         -         -  73.508KB  8.5910GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8608s  1.7600us            (295 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [18745]
41.8611s  142.27us            (295 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [18747]
41.8626s  2.0480us                    -               -         -         -         -  73.508KB  34.230GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8626s  7.4560us                    -               -         -         -         -  73.508KB  9.4022GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
